Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
5	:	1598374282.069	    14.250	0	2339	0	0	./chflow.sh 10_08_2020_10_04_35
2	:	1598374282.058	    14.473	0	2339	0	0	./chflow.sh 10_08_2020_00_33_34
3	:	1598374282.061	    14.487	0	2339	0	0	./chflow.sh 10_08_2020_00_33_35
1	:	1598374282.050	    14.641	0	2280	0	0	./chflow.sh 10_08_2020_00_33_27
10	:	1598374282.088	    14.648	0	2339	0	0	./chflow.sh 10_08_2020_16_53_03
12	:	1598374282.097	    14.647	0	2335	0	0	./chflow.sh 10_08_2020_16_53_05
4	:	1598374282.064	    14.683	0	2339	0	0	./chflow.sh 10_08_2020_00_33_36
11	:	1598374282.092	    14.683	0	2339	0	0	./chflow.sh 10_08_2020_16_53_04
6	:	1598374282.072	    14.786	0	2339	0	0	./chflow.sh 10_08_2020_10_04_37
8	:	1598374282.080	   306.137	0	2239	0	0	./chflow.sh 10_08_2020_16_53_01
7	:	1598374282.076	   306.203	0	2239	0	0	./chflow.sh 10_08_2020_16_53_00
9	:	1598374282.083	   307.091	0	2238	0	0	./chflow.sh 10_08_2020_16_53_02
